"lat","lon","alt","vel"
-15.818282,-48.060698,1213.300000,0.494000
-15.818283,-48.060698,1213.200000,0.224000
-15.818277,-48.060692,1213.400000,0.976000
-15.818275,-48.060689,1213.300000,0.339000
-15.818274,-48.060688,1213.200000,0.082000
-15.818273,-48.060688,1213.400000,0.438000
-15.818274,-48.060689,1213.700000,0.049000
-15.818275,-48.060690,1214.000000,0.140000
-15.818276,-48.060694,1214.200000,0.546000
-15.818277,-48.060695,1214.300000,0.084000
-15.818274,-48.060686,1213.900000,2.356000
-15.818274,-48.060683,1213.700000,1.515000
-15.818278,-48.060684,1214.300000,0.547000
-15.818278,-48.060683,1214.100000,0.794000
-15.818280,-48.060682,1214.500000,0.532000
-15.818281,-48.060682,1215.300000,0.046000
-15.818281,-48.060683,1216.000000,0.089000
-15.818284,-48.060685,1217.100000,0.329000
-15.818286,-48.060688,1217.700000,0.065000
-15.818283,-48.060680,1217.900000,1.659000
-15.818284,-48.060679,1218.600000,0.258000
-15.818285,-48.060679,1218.400000,0.151000
-15.818281,-48.060673,1217.400000,1.232000
-15.818280,-48.060670,1217.600000,1.052000
-15.818283,-48.060673,1220.900000,1.475000
-15.818280,-48.060667,1221.100000,2.085000
-15.818269,-48.060652,1220.000000,5.126000
-15.818264,-48.060646,1219.600000,2.481000
-15.818259,-48.060641,1219.000000,1.947000
-15.818260,-48.060641,1219.000000,1.264000
-15.818260,-48.060642,1219.100000,0.431000
-15.818254,-48.060642,1221.700000,0.871000
-15.818251,-48.060648,1224.000000,1.569000
-15.818254,-48.060642,1221.800000,2.219000
-15.818250,-48.060638,1221.800000,2.437000
-15.818251,-48.060642,1222.300000,0.964000
-15.818259,-48.060643,1219.500000,1.775000
-15.818251,-48.060650,1218.200000,0.657000
-15.818247,-48.060654,1216.200000,0.340000
-15.818247,-48.060655,1215.000000,0.450000
-15.818246,-48.060649,1213.500000,1.027000
-15.818247,-48.060647,1212.700000,0.364000
-15.818253,-48.060646,1211.600000,0.936000
-15.818248,-48.060643,1210.800000,0.783000
-15.818252,-48.060642,1209.400000,0.428000
-15.818252,-48.060642,1208.600000,0.864000
-15.818247,-48.060643,1207.700000,1.437000
